EXPERIMENT: exp_benford_logistic_transition | Status: CONFIRMED | Results: summary.mean_logistic_sine_correlation +0.41372 +/- 0.00000 (d=6474.54, 100.0% sign-consistent); summary.bif_peak_shape_corr +0.98828 +/- 0.00000 (d=inf, 100.0% sign-consistent). 199 seeds, 224 hosts. Last updated: 2026-03-05
EXPERIMENT: exp_critical_branching_skew_crossover | Status: REJECTED | Results: summary.cond_corr_late_mean -0.05618 +/- 0.00039 (d=-3.72, 99.7% sign-consistent); summary.q90_corr_late_mean -0.01712 +/- 0.00044 (d=-1.01, 93.9% sign-consistent). 1526 seeds, 1549 hosts. Last updated: 2026-03-05
EXPERIMENT: exp_fput_heat_conductivity | Status: CONFIRMED | Results: summary.scaling_exponent_alpha +0.25048 +/- 0.00526 (d=3.20, 99.1% sign-consistent); summary.r_squared +0.51813 +/- 0.01379 (d=2.52, 100.0% sign-consistent). 222 seeds, 246 hosts. Last updated: 2026-03-05
EXPERIMENT: exp_lcs_fluctuation_universality | Status: CONFIRMED | Results: config_l_skew_tw_vs_gumbel_margin +0.05820 +/- 0.00000 (d=inf, 100.0% sign-consistent); scaling_chi_kpz_vs_gaussian_margin +0.32491 +/- 0.00089 (d=29.74, 100.0% sign-consistent). 151 seeds, 174 hosts. Last updated: 2026-03-05
EXPERIMENT: exp_quorum_sensing_spatial_hysteresis | Status: REJECTED | Results: summary.mean_slope +0.00619 +/- 0.00015 (d=2.62, 100.0% sign-consistent); summary.narrowing_margin_below_one -0.91723 +/- 1.34776 (d=-0.04, 53.6% sign-consistent). 252 seeds, 277 hosts. Last updated: 2026-03-05
EXPERIMENT: exp_rsa_polydisperse_jamming | Status: CONFIRMED | Results: summary.max_coverage_gain +0.04062 +/- 0.00216 (d=1.25, 100.0% sign-consistent); coverage_vs_cv_slope +0.48216 +/- 0.01480 (d=2.35, 95.9% sign-consistent). 226 seeds, 250 hosts. Last updated: 2026-03-05
EXPERIMENT: exp_winding_number_spitzer | Status: REJECTED | Results: gaussian_cauchy_dev_drop_100_to_50000 -0.05222 +/- 0.00036 (d=-10.78, 100.0% sign-consistent); pareto_excess_cauchy_dev_at_50000 -0.20712 +/- 0.00037 (d=-41.69, 100.0% sign-consistent). 183 seeds, 206 hosts. Last updated: 2026-03-05
EXPERIMENT: exp_may_nested_mutualism_localization | Status: REJECTED | Results: summary.mean_u_shape_window_gain -0.03212 +/- 3.20614e-05 (d=-17.17, 100.0% sign-consistent); summary.mean_high_to_mid_core_shift +0.02125 +/- 1.99993e-05 (d=18.21, 100.0% sign-consistent). 3405 seeds, 43 hosts. Last updated: 2026-03-06
EXPERIMENT: exp_metapop_commuting_reactivity_localization | Status: NO EFFECT | Results: mid_asymmetry_window_gain +0.00020 +/- 0.00003 (d=0.14, 56.7% sign-consistent); high_minus_mid_hub_mass_shift -0.00010 +/- 0.00004 (d=-0.05, 52.4% sign-consistent). 2573 seeds, 24 hosts. Last updated: 2026-03-07
EXPERIMENT: exp_isr_trapmemory_delay_interaction | Status: NO EFFECT | Results: interaction_mean -0.01257 +/- 0.00032 (d=-0.97, 80.1% sign-consistent); reentrant_mean +0.00288 +/- 0.00026 (d=0.27, 63.1% sign-consistent). 1676 seeds, 27 hosts. Last updated: 2026-03-07
EXPERIMENT: exp_ageing_voter_modular_polarization | Status: NO EFFECT | Results: summary.hypothesis_signal.intermediate_ageing_peak_excess -0.0072027 +/- 0.00050288 (d=-0.25, 74.5% sign-consistent); summary.hypothesis_signal.intermediate_ageing_peak_present +0.02832 +/- 0.002943 (d=0.17, 100.0% sign-consistent). 3178 seeds, 40 hosts. Last updated: 2026-03-08
