Axiom validation log 2026-03-07_0554

Session summary
- Uncredited experiment results seen in DB: 1727
- Sanitized files ready and reviewed: 1271
- Results still waiting on sanitized files: 456
- Credit awarded this session: 10000
- Credited results this session: 1271
- Credit distribution: 1103 results at 8 credit, 168 results at 7 credit
- Experiment mix reviewed: may_heterogeneity_reactivity_localization 735, trophic_coherence_reactivity_localization 257, may_ecosystem_stability_structure 244, muller_ratchet_fluctuating_metapop 35

Cleanup and failure review
- Stuck task cleanup query affected 0 rows
- No experiment script changes were made
- No active experiment was aborted: recent failures for trophic_coherence_reactivity_localization and may_ecosystem_stability_structure were outcome 5/6 rows without stderr tracebacks, so this pass did not show a reproducible script crash to justify aborting active work

Per-user totals after credit update
- user 1: +626 this session -> total_credit 23814.645579000007
- user 10: +513 this session -> total_credit 31451.48600000001
- user 22: +32 this session -> total_credit 2041.0
- user 40: +3824 this session -> total_credit 741206.4271749984
- user 56: +1296 this session -> total_credit 157102.62
- user 67: +160 this session -> total_credit 4650.936
- user 88: +2558 this session -> total_credit 9615.5
- user 90: +739 this session -> total_credit 70196.52100000001
- user 127: +252 this session -> total_credit 12354.199999999993

Results reviewed this session
- result 1804074 (host 29): exp_may_ecosystem_stability_structure_1829b8_2 — elapsed 897.283s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
- result 1804075 (host 29): exp_may_ecosystem_stability_structure_c6c08d_2 — elapsed 859.211s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
- result 1804076 (host 29): exp_may_ecosystem_stability_structure_625bc4_2 — elapsed 877.156s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
- result 1804077 (host 29): exp_may_ecosystem_stability_structure_a7e793_2 — elapsed 907.386s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
- result 1804078 (host 195): exp_may_ecosystem_stability_structure_269b60_2 — elapsed 958.985s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804079 (host 195): exp_may_ecosystem_stability_structure_ee97fb_2 — elapsed 926.898s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804080 (host 195): exp_may_ecosystem_stability_structure_817389_2 — elapsed 892.638s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804081 (host 195): exp_may_ecosystem_stability_structure_4a1bed_2 — elapsed 1081.427s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804082 (host 195): exp_may_ecosystem_stability_structure_878b65_2 — elapsed 930.072s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804083 (host 195): exp_may_ecosystem_stability_structure_ddc076_2 — elapsed 893.542s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804084 (host 195): exp_may_ecosystem_stability_structure_441766_2 — elapsed 872.943s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804085 (host 195): exp_may_ecosystem_stability_structure_7dc9ce_2 — elapsed 879.042s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804086 (host 195): exp_may_ecosystem_stability_structure_723a40_2 — elapsed 933.353s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
