Axiom validation log 2026-03-08_2157

Session summary
- Results processed: 2972
- Batch 1 recovered from partial run: 2900 rows at mod_time 2026-03-08 21:53:53
- Batch 2 processed directly: 72 rows
- Denied sentinel (0.01): 540
- Denied empty_payload: 162
- Denied retired_experiment: 365
- Denied stub_filter: 13

Sampling and review notes
- Spot-checked 200 sanitized JSON files for payload quality and cross-host duplication
- No cross-host duplicate payloads were found in the sample
- Denied structural empty payloads when sanitized JSON lacked top-level experiment data
- Retired experiment families were denied per retired_experiments.txt

Results reviewed this session
- result 1931850 (host 123): exp_minority_game_delay_memory_interaction_86e3a0_0 — nbytes=34608, elapsed=249.8s, payload=ok -> 4.40 credit
- result 1931852 (host 123): exp_minority_game_delay_memory_interaction_e6cb45_0 — nbytes=34625, elapsed=236.6s, payload=ok -> 4.40 credit
- result 1931857 (host 123): exp_minority_game_delay_memory_interaction_8d1885_0 — nbytes=34620, elapsed=120.4s, payload=ok -> 4.40 credit
- result 1931858 (host 123): exp_minority_game_delay_memory_interaction_32aac9_0 — nbytes=34580, elapsed=224.0s, payload=ok -> 4.39 credit
- result 1931871 (host 123): exp_minority_game_delay_memory_interaction_9b424f_0 — nbytes=34634, elapsed=119.7s, payload=ok -> 4.40 credit
- result 1931901 (host 15): exp_minority_game_delay_memory_interaction_b82d5e_0 — nbytes=34604, elapsed=886.1s, payload=ok -> 4.40 credit
- result 1931911 (host 15): exp_minority_game_delay_memory_interaction_5582c8_0 — nbytes=34626, elapsed=884.1s, payload=ok -> 4.40 credit
- result 1931912 (host 15): exp_minority_game_delay_memory_interaction_5f6ad1_0 — nbytes=34625, elapsed=884.0s, payload=ok -> 4.40 credit
- result 1931916 (host 15): exp_minority_game_delay_memory_interaction_b9300b_0 — nbytes=34639, elapsed=886.1s, payload=ok -> 4.40 credit
- result 1931953 (host 230): exp_minority_game_delay_memory_interaction_af9ff8_0 — nbytes=34621, elapsed=544.3s, payload=ok -> 4.40 credit
- result 1931954 (host 230): exp_minority_game_delay_memory_interaction_e40c1c_0 — nbytes=34618, elapsed=545.4s, payload=ok -> 4.40 credit
- result 1931956 (host 230): exp_minority_game_delay_memory_interaction_876838_0 — nbytes=34630, elapsed=546.4s, payload=ok -> 4.40 credit
- result 1932071 (host 123): exp_minority_game_delay_memory_interaction_bfe0a8_0 — nbytes=34569, elapsed=263.9s, payload=ok -> 4.39 credit
- result 1932117 (host 230): exp_minority_game_delay_memory_interaction_dfa9f0_0 — nbytes=34642, elapsed=904.8s, payload=ok -> 4.40 credit
- result 1932119 (host 359): exp_windang_h359_3724189_1772991271_1 — nbytes=8923, elapsed=857.3s, deny=retired_experiment -> 0.01 sentinel
- result 1932120 (host 359): exp_bootperc_h359_3724189_1772991271_2 — nbytes=1809, elapsed=1086.0s, deny=retired_experiment -> 0.01 sentinel
- result 1932121 (host 359): exp_goldecay_h359_3724189_1772991271_3 — nbytes=6298, elapsed=786.7s, deny=retired_experiment -> 0.01 sentinel
- result 1932122 (host 359): exp_votermod_h359_3724189_1772991271_4 — nbytes=18730, elapsed=796.0s, deny=retired_experiment -> 0.01 sentinel
- result 1932123 (host 359): exp_nkwalk_h359_3724189_1772991271_5 — nbytes=1248, elapsed=64.8s, deny=retired_experiment -> 0.01 sentinel
- result 1932125 (host 359): exp_collatz_h359_3724189_1772991271_7 — nbytes=1509, elapsed=913.2s, deny=retired_experiment -> 0.01 sentinel
- result 1932128 (host 359): exp_bootperc_h359_r1_3724189_1772991271_10 — nbytes=1808, elapsed=1032.1s, deny=retired_experiment -> 0.01 sentinel
- result 1932129 (host 359): exp_goldecay_h359_r1_3724189_1772991271_11 — nbytes=6296, elapsed=748.9s, deny=retired_experiment -> 0.01 sentinel
- result 1932130 (host 359): exp_votermod_h359_r1_3724189_1772991271_12 — nbytes=18616, elapsed=817.3s, deny=retired_experiment -> 0.01 sentinel
- result 1932131 (host 359): exp_nkwalk_h359_r1_3724189_1772991271_13 — nbytes=1251, elapsed=53.9s, deny=retired_experiment -> 0.01 sentinel
- result 1932132 (host 359): exp_hyperpgg_h359_r1_3724189_1772991271_14 — nbytes=5902, elapsed=805.5s, payload=ok -> 1.00 credit
- result 1932133 (host 359): exp_collatz_h359_r1_3724189_1772991271_15 — nbytes=1359, elapsed=816.1s, deny=retired_experiment -> 0.01 sentinel
- result 1932135 (host 359): exp_windang_h359_r2_3724189_1772991271_17 — nbytes=8924, elapsed=817.9s, deny=retired_experiment -> 0.01 sentinel
- result 1932136 (host 359): exp_bootperc_h359_r2_3724189_1772991271_18 — nbytes=1803, elapsed=1073.9s, deny=retired_experiment -> 0.01 sentinel
- result 1932137 (host 359): exp_goldecay_h359_r2_3724189_1772991271_19 — nbytes=6289, elapsed=770.2s, deny=retired_experiment -> 0.01 sentinel
- result 1932138 (host 359): exp_votermod_h359_r2_3724189_1772991271_20 — nbytes=18732, elapsed=810.6s, deny=retired_experiment -> 0.01 sentinel
- result 1932139 (host 359): exp_nkwalk_h359_r2_3724189_1772991271_21 — nbytes=1251, elapsed=44.1s, deny=retired_experiment -> 0.01 sentinel
- result 1932140 (host 359): exp_hyperpgg_h359_r2_3724189_1772991271_22 — nbytes=5994, elapsed=833.1s, payload=ok -> 1.00 credit
- result 1932141 (host 359): exp_collatz_h359_r2_3724189_1772991271_23 — nbytes=1514, elapsed=895.0s, deny=retired_experiment -> 0.01 sentinel
- result 1932144 (host 123): exp_minority_game_delay_memory_interaction_3f3c9d_0 — nbytes=34643, elapsed=255.5s, payload=ok -> 4.40 credit
- result 1932169 (host 123): exp_minority_game_delay_memory_interaction_f5c29d_0 — nbytes=34613, elapsed=245.8s, payload=ok -> 4.40 credit
- result 1932177 (host 123): exp_minority_game_delay_memory_interaction_72b69a_0 — nbytes=34624, elapsed=239.6s, payload=ok -> 4.40 credit
- result 1932195 (host 123): exp_minority_game_delay_memory_interaction_d7dac3_0 — nbytes=34573, elapsed=263.9s, payload=ok -> 4.39 credit
- result 1932222 (host 85): exp_minority_game_delay_memory_interaction_267c01_0 — nbytes=34614, elapsed=205.5s, payload=ok -> 4.40 credit
- result 1932233 (host 102): exp_minority_game_delay_memory_interaction_26aa55_0 — nbytes=34612, elapsed=854.2s, payload=ok -> 4.40 credit
- result 1932299 (host 87): exp_minority_game_delay_memory_interaction_b5bd9d_0 — nbytes=34617, elapsed=909.1s, payload=ok -> 4.40 credit
- result 1932359 (host 87): exp_minority_game_delay_memory_interaction_c20829_0 — nbytes=34630, elapsed=900.5s, payload=ok -> 4.40 credit
- result 1932398 (host 87): exp_minority_game_delay_memory_interaction_52af21_0 — nbytes=34640, elapsed=899.5s, payload=ok -> 4.40 credit
- result 1932402 (host 87): exp_minority_game_delay_memory_interaction_912e28_0 — nbytes=34642, elapsed=910.0s, payload=ok -> 4.40 credit
- result 1932425 (host 87): exp_minority_game_delay_memory_interaction_8b6de3_0 — nbytes=34630, elapsed=897.9s, payload=ok -> 4.40 credit
